海外,かいがい
医者,いしゃ
楽器,がっき
赤い,あかい
少年,しょうねん
校長,こうちょう
,でしょう
最初,さいしょ
最も,もっとも
青,あお
女性,じょせい
結婚,けっこん
計画,けいかく
踏む,ふむ
家具,かぐ
不足,ふそく
目的,もくてき
説明,せつめい
昼,ひる
間に合う,まにあう
遅い,おそい
晴れる,はれる
落とす,おとす
壊す,こわす
離れる,はなれる
関係,かんけい
理由,りゆう
立つ,たつ
,インターネット
九,きゅう
夏休み,なつやすみ
今,いま
美術館,びじゅつかん
練習,れんしゅう
明らか,あきらか
文字,もじ
待つ,まつ
,きっかけ
利用,りよう
変わる,かわる
読書,どくしょ
別に,べつに
神様,かみさま
使用,しよう
悲しい,かなしい
勝つ,かつ
足,あし
土地,とち
船,ふね
教える,おしえる
完全,かんぜん
,じゃ
母親,ははおや
荷物,にもつ
予約,よやく
十分,じゅうぶん
猫,ねこ
,ずっと
直す,なおす
恥ずかしい,はずかしい
来月,らいげつ
日本,にほん
戦い,たたかい
増える,ふえる
通る,とおる
決める,きめる
,ことができる
緑,みどり
少女,しょうじょ
来る,くる
,いろいろ
下さる,くださる
会う,あう
,ビール
上がる,あがる
,たばこ
始め,はじめ
,あちら
,いいえ
行く,いく
一度,いちど
,ふるさと
東,ひがし
地下,ちか
引っ越す,ひっこす
,ボール
,プレゼント
会話,かいわ
,アルバイト
運転,うんてん
会場,かいじょう
散歩,さんぽ
入院,にゅういん
,イギリス
本当,ほんとう
,スキー
調べる,しらべる
大会,たいかい
友,とも
中学校,ちゅうがっこう
壊れる,こわれる
父親,ちちおや
,コンサート
,ドイツ
教会,きょうかい
作業,さぎょう
教育,きょういく
行動,こうどう
保険,ほけん
開始,かいし
急,きゅう
,デパート
日曜日,にちようび
反対,はんたい
推薦,すいせん
戦争,せんそう
普通,ふつう
発見,はっけん
途中,とちゅう
耳,みみ
,これから
間違える,まちがえる
立場,たちば
注目,ちゅうもく
横,よこ
原因,げんいん
以前,いぜん
新た,あらた
危険,きけん
電子,でんし
分野,ぶんや
食事,しょくじ
物語,ものがたり
祖父,そふ
場合,ばあい
気に入る,きにいる
貸す,かす
学ぶ,まなぶ
